Year;Month;Day;Gage_1;Gage_3;Gage_4;Gage_5;Gage_7;Gage_8;Gage_45;Gage_46;Gage_56;Gage_57;Gage_58;Gage_59;Gage_62;Gage_63;Gage_72
1981;9;29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;9;30;1.27;1.02;1.02;2.29;1.52;1.52;7.11;7.37;4.06;8.13;8.64;7.11;3.81;4.57;4.83
1981;10;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.25;0.25;0.00;0.25
1981;10;2;0.00;0.00;0.00;0.00;0.00;0.25;10.41;4.06;4.06;6.60;3.56;9.14;5.08;5.33;4.32
1981;10;20;0.00;0.00;0.76;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.00
1981;10;21;6.60;9.14;7.62;9.65;9.40;9.40;10.92;13.21;11.18;12.19;12.95;11.68;10.67;10.92;10.92
1981;10;22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00
1981;11;28;2.79;2.03;2.54;3.56;2.79;3.81;3.30;3.05;3.30;4.32;3.81;0.00;5.08;3.81;0.00
1981;11;29;0.76;0.76;1.78;1.27;3.05;2.29;3.05;3.05;2.79;4.32;3.05;0.00;3.56;2.79;0.00
1982;1;2;0.00;0.00;1.78;0.00;0.00;0.00;0.00;2.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;1;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;1;5;0.00;0.00;2.03;0.00;0.00;0.00;0.00;2.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;1;10;0.00;0.00;2.29;0.00;0.00;0.00;0.00;1.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;1;11;0.00;0.00;1.52;0.00;0.00;0.00;0.00;2.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;1;12;0.00;0.00;3.56;0.00;0.00;0.00;0.00;5.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;1;21;0.00;0.00;1.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;1;22;0.00;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;1;29;0.00;0.00;4.32;0.00;0.00;0.00;0.00;5.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;2;11;0.00;0.00;5.08;0.00;0.00;0.00;0.00;2.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;2;18;0.00;0.00;1.52;0.00;0.00;0.00;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;2;24;0.00;0.00;1.27;0.00;0.00;0.00;0.00;4.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;3;12;0.00;0.00;4.57;0.00;0.00;0.00;0.00;3.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;3;13;0.00;0.00;4.57;0.00;0.00;0.00;0.00;9.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;4;7;0.00;0.00;0.51;0.00;0.00;0.00;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;5;1;0.00;0.00;9.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;5;2;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;5;4;0.00;0.00;1.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;5;27;0.00;0.00;0.25;0.00;0.00;0.00;0.00;2.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;6;29;0.00;0.00;1.02;0.00;0.00;0.00;0.00;1.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;6;30;0.00;0.00;0.51;1.02;1.27;1.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;7;5;1.02;1.27;1.78;1.02;3.81;1.27;0.51;0.00;0.00;0.51;0.76;0.00;0.00;1.02;1.02
1982;7;6;39.62;34.29;41.91;47.50;34.80;47.24;11.43;12.19;7.37;7.87;9.91;16.26;10.67;9.40;6.35
1982;7;14;0.00;0.00;0.25;0.51;0.51;0.00;0.00;0.00;0.00;0.00;1.02;2.03;0.00;0.00;0.00
1982;7;15;1.78;0.76;1.02;1.78;1.02;4.06;0.00;0.25;0.00;0.76;0.25;0.76;0.51;0.00;0.00
1982;7;16;0.76;1.02;4.06;5.84;2.29;3.30;1.27;3.05;3.30;2.79;6.10;10.67;3.81;2.54;2.79
1982;7;17;4.57;5.33;2.54;2.29;2.29;1.52;11.68;8.13;1.78;2.29;0.00;0.00;0.51;0.51;4.32
1982;7;18;0.00;0.00;0.00;0.00;0.00;0.00;2.03;1.52;0.51;2.54;5.08;11.18;5.33;4.83;0.00
1982;7;19;6.10;7.87;20.32;18.29;25.91;21.08;2.54;1.27;2.29;2.79;2.29;10.67;4.06;7.37;2.54
1982;7;20;7.11;6.86;11.18;8.64;11.68;11.43;12.45;13.97;17.02;14.48;19.30;21.59;23.88;20.83;21.08
1982;7;21;4.06;4.57;2.29;3.05;2.54;3.05;0.76;0.51;0.76;0.76;0.51;0.51;0.51;0.00;0.76
1982;7;22;0.00;0.00;0.25;0.00;0.00;0.00;0.76;0.00;1.78;0.76;0.00;0.00;0.00;0.76;0.00
1982;7;23;1.27;1.02;0.25;1.02;0.51;1.78;2.79;2.54;5.33;4.06;0.00;0.00;1.27;0.00;1.27
1982;7;24;2.03;2.29;0.00;0.00;0.00;0.00;10.16;7.37;0.76;5.84;2.29;1.27;0.76;1.02;0.76
1982;7;25;0.00;0.51;0.00;0.00;0.00;0.51;0.00;0.00;0.00;0.51;0.00;0.00;0.00;0.00;0.00
1982;7;26;1.27;2.29;0.76;2.03;1.52;2.03;1.52;2.03;14.48;3.30;8.38;7.11;5.84;11.43;12.45
1982;7;28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;7;29;22.10;27.94;0.76;14.48;8.64;26.92;0.76;0.00;6.35;0.51;0.00;0.00;0.51;0.00;1.27
1982;7;30;5.08;16.51;11.18;11.68;6.10;9.40;1.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;7;31;0.76;0.00;0.51;0.51;0.00;0.00;24.89;26.67;17.02;22.35;19.30;38.86;17.53;10.92;15.49
1982;8;1;0.76;2.03;1.02;1.02;1.27;1.52;0.00;0.00;0.00;0.00;0.00;0.51;0.00;0.00;0.00
1982;8;2;2.54;1.27;1.52;1.78;1.27;1.52;1.02;1.27;0.00;1.02;0.51;0.25;0.00;0.00;0.00
1982;8;3;0.00;0.00;0.00;0.00;1.78;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.00;0.00
1982;8;4;0.76;1.02;1.02;1.27;1.78;0.76;0.51;0.51;0.00;0.00;0.00;0.25;0.00;0.00;0.00
1982;8;5;7.37;6.60;3.81;4.83;3.81;4.06;7.37;8.13;2.54;6.35;5.59;8.89;2.29;2.54;2.03
1982;8;6;0.00;0.00;0.00;0.00;0.51;0.00;1.27;2.03;4.06;0.76;0.76;1.78;4.83;2.54;2.29
1982;8;7;5.59;2.29;0.00;0.51;3.05;0.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.00
1982;8;8;1.78;5.33;3.56;0.51;2.54;6.60;2.29;1.27;3.30;0.00;0.00;0.00;0.00;0.00;0.00
1982;8;10;0.00;0.00;1.52;0.00;4.57;1.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;8;11;6.60;5.08;3.05;2.79;3.05;3.56;8.64;14.22;8.89;11.68;11.43;9.65;1.52;3.30;10.92
1982;8;12;0.00;0.00;0.00;0.00;1.02;0.51;2.79;6.86;2.54;4.83;7.37;7.87;3.05;5.84;4.57
1982;8;13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.29;0.00;0.00;0.76;5.08;0.00;0.51;0.00
1982;8;16;0.00;0.51;0.51;0.00;1.52;0.25;1.27;0.00;1.02;0.51;1.02;0.76;1.02;0.51;0.51
1982;8;17;0.00;3.05;0.25;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;8;18;9.40;11.18;10.92;8.38;3.05;5.33;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;8;19;4.57;9.91;5.84;20.32;2.03;13.21;0.76;0.00;1.02;0.76;0.00;0.51;0.25;0.00;0.00
1982;8;20;11.94;12.95;18.80;25.40;10.16;24.89;20.07;11.43;3.56;9.14;5.84;13.46;6.86;5.08;4.32
1982;8;21;0.00;0.00;0.00;0.00;0.76;0.00;0.00;0.25;0.00;0.00;0.51;0.76;0.25;0.00;0.00
1982;8;23;0.00;0.00;1.27;0.51;4.83;2.03;13.72;10.16;0.00;1.02;0.00;0.00;0.51;0.00;0.00
1982;8;27;1.02;1.02;0.25;0.00;0.76;0.76;20.32;10.41;65.02;44.70;17.53;26.92;3.81;10.67;36.58
1982;8;28;0.51;1.02;4.83;7.37;3.30;8.64;1.27;1.78;0.76;0.25;2.03;3.56;20.07;0.76;0.25
1982;8;29;5.08;5.33;7.37;6.60;10.41;7.11;9.91;6.35;10.67;16.00;12.45;7.37;9.91;11.43;14.48
1982;8;30;1.02;0.76;1.02;0.51;1.02;0.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;8;31;0.00;0.00;0.00;0.00;0.00;0.00;3.05;8.13;0.51;3.05;4.06;5.08;0.76;1.02;0.76
1982;9;2;5.08;2.54;0.00;1.78;0.00;0.00;1.27;1.52;1.02;0.25;0.51;0.51;2.54;1.02;0.76
